timestamp,event20250506_175617,Change detected – screenshot saved: ;screenshot_20250506_175617.png;detetced:dynamic
20250506_175618,Change detected – screenshot saved: ;screenshot_20250506_175618.png;detetced:dynamic
20250506_175619,Change detected – screenshot saved: ;screenshot_20250506_175619.png;detetced:mouse_move
20250506_175620,Change detected – screenshot saved: ;screenshot_20250506_175620.png;detetced:dynamic
20250506_175621,Change detected – screenshot saved: ;screenshot_20250506_175621.png;detetced:dynamic
20250506_175622,Change detected – screenshot saved: ;screenshot_20250506_175622.png;detetced:dynamic
20250506_175623,Change detected – screenshot saved: ;screenshot_20250506_175623.png;detetced:dynamic
20250506_175624,Change detected – screenshot saved: ;screenshot_20250506_175624.png;detetced:dynamic
20250506_175625,Change detected – screenshot saved: ;screenshot_20250506_175625.png;detetced:mouse_click
20250506_175628,Change detected – screenshot saved: ;screenshot_20250506_175628.png;detetced:dynamic
20250506_175632,Change detected – screenshot saved: ;screenshot_20250506_175632.png;detetced:mouse_move
20250506_175635,Change detected – screenshot saved: ;screenshot_20250506_175635.png;detetced:mouse_move
20250506_175636,Change detected – screenshot saved: ;screenshot_20250506_175636.png;detetced:mouse_move
20250506_175637,Change detected – screenshot saved: ;screenshot_20250506_175637.png;detetced:mouse_move
20250506_175638,Change detected – screenshot saved: ;screenshot_20250506_175638.png;detetced:mouse_move
20250506_175639,Change detected – screenshot saved: ;screenshot_20250506_175639.png;detetced:mouse_click
20250506_175640,Change detected – screenshot saved: ;screenshot_20250506_175640.png;detetced:mouse_click
20250506_175641,Change detected – screenshot saved: ;screenshot_20250506_175641.png;detetced:mouse_click
20250506_175642,Change detected – screenshot saved: ;screenshot_20250506_175642.png;detetced:mouse_move
20250506_175644,Change detected – screenshot saved: ;screenshot_20250506_175644.png;detetced:mouse_move
20250506_175648,Change detected – screenshot saved: ;screenshot_20250506_175648.png;detetced:mouse_move
20250506_175649,Change detected – screenshot saved: ;screenshot_20250506_175649.png;detetced:mouse_move
20250506_175650,Change detected – screenshot saved: ;screenshot_20250506_175650.png;detetced:mouse_move
20250506_175651,Change detected – screenshot saved: ;screenshot_20250506_175651.png;detetced:mouse_move
20250506_175652,Change detected – screenshot saved: ;screenshot_20250506_175652.png;detetced:mouse_move
20250506_175654,Change detected – screenshot saved: ;screenshot_20250506_175654.png;detetced:mouse_move
20250506_175655,Change detected – screenshot saved: ;screenshot_20250506_175655.png;detetced:mouse_click
20250506_175658,Change detected – screenshot saved: ;screenshot_20250506_175658.png;detetced:mouse_move
